datetime,open,high,low,close,volume
2026-04-14 09:00:00,4786.715,4789.115,4771.395,4777.985,60
2026-04-14 10:00:00,4778.065,4787.955,4751.285,4768.175,60
2026-04-14 11:00:00,4768.145,4782.885,4766.665,4774.578,60
2026-04-14 12:00:00,4774.755,4777.365,4761.905,4771.235,60
2026-04-14 13:00:00,4771.265,4803.115,4770.965,4794.388,60
2026-04-14 14:00:00,4794.388,4817.598,4792.668,4803.635,60
2026-04-14 15:00:00,4803.645,4815.885,4790.995,4807.795,60
2026-04-14 16:00:00,4807.865,4819.995,4804.735,4809.885,60
2026-04-14 17:00:00,4809.965,4841.515,4809.198,4834.885,60
2026-04-14 18:00:00,4834.925,4843.018,4830.615,4835.308,60
2026-04-14 19:00:00,4835.375,4846.098,4835.305,4844.735,60
2026-04-14 20:00:00,4844.725,4845.955,4839.295,4841.155,60
2026-04-14 22:00:00,4836.618,4850.445,4832.928,4834.448,60
2026-04-14 23:00:00,4834.448,4843.905,4833.128,4836.935,60
2026-04-15 00:00:00,4836.965,4839.805,4826.855,4835.315,60
2026-04-15 01:00:00,4835.285,4871.165,4827.905,4846.855,60
2026-04-15 02:00:00,4846.695,4853.125,4820.395,4823.695,60
2026-04-15 03:00:00,4823.985,4829.395,4816.548,4823.825,60
2026-04-15 04:00:00,4823.745,4827.695,4820.105,4824.505,60
2026-04-15 05:00:00,4824.615,4830.325,4812.445,4819.365,60
2026-04-15 06:00:00,4819.435,4824.695,4810.855,4811.345,60
2026-04-15 07:00:00,4811.655,4816.775,4803.715,4810.955,60
2026-04-15 08:00:00,4810.755,4821.298,4804.215,4818.185,60
2026-04-15 09:00:00,4818.205,4819.345,4785.885,4798.065,60
2026-04-15 10:00:00,4797.925,4805.025,4789.915,4799.835,60
2026-04-15 11:00:00,4799.935,4814.805,4795.355,4812.475,60
2026-04-15 12:00:00,4812.495,4816.025,4806.765,4811.335,60
2026-04-15 13:00:00,4811.305,4829.995,4808.255,4828.595,60
2026-04-15 14:00:00,4828.555,4830.435,4813.165,4815.385,60
2026-04-15 15:00:00,4815.405,4816.025,4786.805,4801.445,60
2026-04-15 16:00:00,4801.435,4812.295,4799.975,4803.755,60
2026-04-15 17:00:00,4803.655,4808.575,4790.495,4792.315,60
2026-04-15 18:00:00,4792.345,4801.945,4790.105,4799.705,60
2026-04-15 19:00:00,4799.435,4803.315,4794.375,4795.605,60
2026-04-15 20:00:00,4795.635,4796.515,4787.595,4789.365,60
2026-04-15 22:00:00,4787.135,4811.665,4787.135,4807.058,60
2026-04-15 23:00:00,4807.058,4826.425,4806.948,4823.205,60
2026-04-16 00:00:00,4822.995,4837.455,4820.578,4832.398,60
2026-04-16 01:00:00,4832.418,4835.985,4811.048,4817.725,60
2026-04-16 02:00:00,4817.785,4824.765,4812.158,4819.525,60
2026-04-16 03:00:00,4819.315,4826.985,4818.765,4823.835,60
2026-04-16 04:00:00,4823.735,4833.315,4822.998,4832.895,60
2026-04-16 05:00:00,4832.875,4838.335,4821.085,4821.105,60
2026-04-16 06:00:00,4821.045,4830.465,4814.105,4825.805,60
2026-04-16 07:00:00,4825.845,4830.735,4816.945,4820.715,60
2026-04-16 08:00:00,4820.805,4821.645,4806.128,4813.438,60
2026-04-16 09:00:00,4813.438,4817.745,4806.535,4812.635,60
2026-04-16 10:00:00,4812.675,4817.015,4804.855,4816.975,60
2026-04-16 11:00:00,4817.035,4822.395,4815.195,4822.015,60
2026-04-16 12:00:00,4822.015,4822.915,4811.415,4815.905,60
