detected_at,timeframe,zone_type,zone_top,zone_bottom,zone_height,atr_at_detection,close_at_detection,trend_1h,strength_1h,trend_5m,strength_5m,zone_5m_nearby,level_1h_nearby,confluence_score,result,move_favor,move_against,move_pips
2025-05-27T15:15:00+02:00,15m,supply,3337.15,3321.43,15.72,19.19,3313.45,,,bearish,0.421,False,True,1,respected,16.25,24.1,16.25
2025-05-27T18:00:00+02:00,15m,supply,3330.54,3314.16,16.38,14.88,3299.2,bullish,1.713,bearish,0.265,False,True,1,respected,6.33,22.26,6.33
2025-05-27T18:15:00+02:00,15m,supply,3330.54,3314.16,16.38,14.97,3308.06,,,bullish,0.349,False,False,0,respected,15.19,13.4,15.19
2025-05-28T17:45:00+02:00,15m,supply,3304.92,3286.19,18.73,16.06,3277.69,,,bearish,0.928,False,True,1,respected,27.34,27.08,27.34
2025-05-29T13:00:00+02:00,15m,demand,3272.86,3259.51,13.35,25.0,3299.28,bullish,1.065,bullish,0.167,False,True,2,broke,21.33,53.71,-53.71
2025-05-29T13:15:00+02:00,15m,demand,3272.86,3259.51,13.35,24.3,3307.99,,,bearish,0.928,False,True,1,broke,12.62,62.42,-62.42
2025-05-29T13:30:00+02:00,15m,demand,3272.86,3259.51,13.35,24.16,3276.81,,,bearish,0.59,False,True,1,broke,43.8,31.24,-31.24
2025-05-29T13:45:00+02:00,15m,demand,3272.86,3259.51,13.35,25.26,3301.69,,,bullish,0.175,False,True,1,broke,29.55,56.12,-56.12
2025-05-29T14:00:00+02:00,15m,supply,3310.13,3283.1,27.02,28.91,3246.44,bullish,1.166,bearish,0.293,False,True,1,broke,0.87,84.8,-84.8
2025-05-29T14:15:00+02:00,15m,supply,3310.13,3283.1,27.02,28.37,3260.17,,,bullish,0.644,False,True,1,broke,14.6,71.07,-71.07
2025-05-29T15:30:00+02:00,15m,supply,3310.13,3283.1,27.02,26.15,3245.57,,,bearish,0.345,False,True,1,broke,0.0,85.67,-85.67
2025-05-29T15:45:00+02:00,15m,supply,3310.13,3283.1,27.02,25.4,3245.57,,,bearish,0.011,False,True,1,broke,0.0,85.67,-85.67
2025-05-29T16:00:00+02:00,15m,supply,3310.13,3283.1,27.02,26.9,3270.56,bearish,0.543,bullish,0.866,False,True,2,broke,6.18,60.68,-60.68
2025-05-29T18:45:00+02:00,15m,demand,3303.18,3283.1,20.08,22.64,3331.24,,,bullish,0.232,False,True,1,broke,0.0,60.54,-60.54
2025-05-30T14:30:00+02:00,15m,supply,3314.51,3296.8,17.71,15.5,3272.73,,,bullish,0.372,False,True,1,respected,1.11,30.3,1.11
2025-05-30T14:45:00+02:00,15m,supply,3314.51,3296.8,17.71,15.62,3282.54,,,bearish,0.007,False,True,1,respected,10.92,20.49,10.92
2025-05-30T15:15:00+02:00,15m,supply,3314.51,3295.69,18.82,17.81,3277.55,,,bearish,0.079,False,True,1,respected,5.93,21.69,5.93
2025-05-30T15:30:00+02:00,15m,supply,3314.51,3294.22,20.28,17.01,3283.32,,,bullish,0.089,False,True,1,respected,11.7,15.92,11.7
2025-06-01T13:15:00+02:00,15m,demand,3304.84,3298.96,5.88,5.01,3311.57,,,bearish,0.264,True,True,2,broke,5.16,15.8,-15.8
2025-06-01T13:30:00+02:00,15m,supply,3308.61,3301.94,6.67,5.87,3296.38,,,bullish,0.074,False,False,0,broke,0.32,20.35,-20.35
2025-06-01T14:00:00+02:00,15m,demand,3304.5,3297.61,6.89,6.32,3312.18,bearish,0.446,bearish,0.089,True,True,2,broke,4.55,15.65,-15.65
2025-06-01T14:15:00+02:00,15m,demand,3304.5,3297.61,6.89,6.6,3309.48,,,bearish,0.036,True,True,2,broke,7.25,12.94,-12.94
2025-06-01T14:45:00+02:00,15m,demand,3308.61,3301.94,6.67,6.97,3316.65,,,bearish,0.258,False,True,1,broke,0.08,20.11,-20.11
2025-06-01T15:00:00+02:00,15m,demand,3304.36,3297.61,6.75,7.49,3304.46,bearish,0.022,bearish,0.032,False,True,1,broke,12.27,7.92,-7.92
2025-06-02T13:15:00+02:00,15m,demand,3339.03,3313.95,25.08,21.85,3341.48,,,bullish,0.006,False,True,1,respected,42.0,13.18,42.0
2025-06-03T13:00:00+02:00,15m,supply,3379.95,3361.67,18.28,16.78,3333.26,bearish,0.711,bearish,0.366,False,True,2,respected,0.0,46.83,0.0
2025-06-03T14:00:00+02:00,15m,supply,3379.95,3362.88,17.07,14.95,3341.52,bullish,0.566,bullish,0.587,False,True,1,respected,8.25,38.58,8.25
2025-06-03T14:45:00+02:00,15m,supply,3380.3,3358.27,22.03,18.98,3338.91,,,bearish,0.309,False,True,1,respected,5.64,25.36,5.64
2025-06-03T15:00:00+02:00,15m,supply,3380.3,3358.27,22.03,18.48,3336.73,bullish,0.549,bullish,0.006,False,True,1,respected,3.47,27.53,3.47
2025-06-03T15:15:00+02:00,15m,supply,3379.95,3361.67,18.28,19.8,3360.9,,,bearish,0.109,False,True,1,respected,27.63,3.37,27.63
2025-06-03T16:45:00+02:00,15m,supply,3379.95,3361.67,18.28,15.79,3342.79,,,bearish,0.104,False,True,1,respected,9.53,23.6,9.53
2025-06-03T17:00:00+02:00,15m,supply,3379.95,3362.88,17.07,16.5,3361.83,bearish,0.083,bearish,0.142,False,True,2,respected,28.56,4.57,28.56
2025-06-04T13:45:00+02:00,15m,supply,3375.66,3366.14,9.52,10.17,3357.17,,,bullish,0.066,False,True,1,broke,3.51,26.83,-26.83
2025-06-04T14:00:00+02:00,15m,supply,3375.66,3366.14,9.52,9.39,3361.74,bearish,0.607,bullish,0.338,False,True,2,broke,8.09,22.26,-22.26
2025-06-04T14:30:00+02:00,15m,supply,3375.66,3366.14,9.52,8.94,3354.63,,,bullish,0.001,False,True,1,broke,0.97,29.37,-29.37
2025-06-04T16:00:00+02:00,15m,demand,3370.03,3360.01,10.02,9.11,3382.62,bullish,0.945,bullish,0.013,True,False,2,respected,1.38,21.85,1.38
2025-06-04T17:15:00+02:00,15m,demand,3369.22,3355.62,13.61,11.79,3375.26,,,bearish,0.08,False,True,1,respected,9.46,14.16,9.46
2025-06-05T13:15:00+02:00,15m,supply,3390.51,3370.33,20.18,17.84,3351.23,,,bearish,0.808,False,False,0,broke,10.53,52.25,-52.25
2025-06-05T13:45:00+02:00,15m,supply,3390.51,3370.33,20.18,20.23,3344.06,,,bullish,0.489,False,False,0,broke,1.16,59.42,-59.42
